Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk,Magni_Risk,Reward
00:00:00,143.23,166.3431984,0,0,0,2.031487172,2.031487172,0.049182122,1
00:05:00,143.2299837,165.7717999,0,0.416041667,0,2.031485253,2.031485253,0.049181758,1
00:10:00,143.2288755,163.8845268,0,0,0,2.031354732,2.031354732,0.049157042,1
00:15:00,143.218271,162.4534811,0,0,0,2.030105897,2.030105897,0.048920824,1
00:20:00,143.177625,161.8510572,0,0,0,2.025321969,2.025321969,0.048020532,1
00:25:00,143.081725,163.063593,0,0,0,2.014051896,2.014051896,0.045928505,1
00:30:00,142.9077595,166.5794359,0,0.012216667,0,1.993669029,1.993669029,0.042248908,1
00:35:00,142.6402495,172.5834103,0,0.032958333,0,1.962481056,1.962481056,0.036882181,1
00:40:00,142.2744103,182.255731,0,0.055433333,0,1.92013544,1.92013544,0.030117996,-1
00:45:00,141.8114056,192.8211021,0,0.088575,0,1.867054378,1.867054378,0.022517629,-1
00:50:00,141.2552436,203.7632064,0,0.096908333,0,1.804056638,1.804056638,0.014821021,-1
00:55:00,140.6103437,211.4981578,0,0.100641667,0,1.732063735,1.732063735,0.007878652,-1
01:00:00,139.8791753,208.5720514,0,0.072216667,0,1.651832899,1.651832899,0.002619455,-1
01:05:00,139.0612928,195.1036188,0,0,0,1.563870174,1.563870174,7.92E-05,-1
01:10:00,138.154354,173.586026,0,0,0,1.468573154,1.468573154,0.001465621,1
01:15:00,137.1569897,158.901698,0,0,0,1.366556397,1.366556397,0.008198129,1
01:20:00,136.0714838,153.4982403,0,0,0,1.258912821,1.258912821,0.021865624,1
01:25:00,134.9049566,155.6124881,0,0,0,1.147272866,1.147272866,0.044102177,1
01:30:00,133.6691876,157.6843846,0,0.020725,0,1.033695136,1.033695136,0.076417366,1
01:35:00,132.3795145,155.756686,0,0.020433333,0,0.920458222,0.920458222,0.120025381,1
01:40:00,131.0531092,149.4973,0,0,0,0.809811021,0.809811021,0.175720269,1
01:45:00,129.7073941,143.3691982,0,0,0,0.703770847,0.703770847,0.243812987,1
01:50:00,128.3592439,138.6876104,0,0,0,0.604022699,0.604022699,0.324102409,1
01:55:00,127.0246782,135.4376164,0,0,0,0.511881148,0.511881148,0.415866045,1
02:00:00,125.7186553,133.729471,0,0,0,0.428276702,0.428276702,0.517876457,1
02:05:00,124.4548733,132.5789268,0,0,0,0.353758799,0.353758799,0.628446956,1
02:10:00,123.2455945,131.6516902,0,0,0,0.288515869,0.288515869,0.745504369,1
02:15:00,122.1015217,130.8744755,0,0,0,0.232412072,0.232412072,0.866682233,1
02:20:00,121.0317414,129.9150991,0,0,0,0.185037666,0.185037666,0.98942585,1
02:25:00,120.0437332,128.3029265,0,0,0,0.145768278,0.145768278,1.1111006,1
02:30:00,119.1434344,126.9737864,0,0,0,0.113827894,0.113827894,1.229096012,1
02:35:00,118.3353463,130.0140096,0,0,0,0.088350901,0.088350901,1.340919777,1
02:40:00,117.6226616,133.4566173,0,0.028558333,0,0.068439329,0.068439329,1.444278471,1
02:45:00,115.007261,135.5875076,0,0.032258333,0,0.053209558,0.053209558,1.537164506,1
02:50:00,115.4892885,136.831637,0,0.020591667,0,0.041823746,0.041823746,1.617997605,1
02:55:00,117.0667217,136.9464989,0,0.0127,0,0.033518064,0.033518064,1.685761352,1
03:00:00,118.735498,135.7973671,0,0.002608333,0,0.027632005,0.027632005,1.740032333,1
03:05:00,119.4901732,133.6733136,0,0,0,0.023629099,0.023629099,1.780888762,1
03:10:00,119.3248167,130.905963,0,0,0,0.021103355,0.021103355,1.808746122,1
03:15:00,120.2337947,129.1881955,0,0,0,0.019772512,0.019772512,1.82419052,1
03:20:00,121.2122418,128.628321,0,0,0,0.019463584,0.019463584,1.827859022,1
03:25:00,121.2562364,128.7625717,0,0,0,0.020096705,0.020096705,1.820375384,1
03:30:00,122.3627755,128.4294202,0,0.002625,0,0.021670846,0.021670846,1.802328489,1
03:35:00,123.5296325,127.2795765,0,0,0,0.024252367,0.024252367,1.774279136,1
03:40:00,124.7551513,126.3778093,0,0,0,0.02796585,0.02796585,1.736783634,1
03:45:00,126.0380776,127.8927755,0,0,0,0.032987287,0.032987287,1.690414431,1
03:50:00,126.3774418,132.1367936,0,0.014983333,0,0.039538948,0.039538948,1.635773662,1
03:55:00,126.7723821,137.9468611,0,0.039533333,0,0.047883102,0.047883102,1.573516365,1
04:00:00,127.2216178,140.5898015,0,0.053716667,0,0.058305889,0.058305889,1.504424335,1
04:05:00,127.7224693,139.337504,0,0.025458333,0,0.071081752,0.071081752,1.429533113,1
04:10:00,128.2699964,134.8936469,0,0,0,0.08642454,0.08642454,1.350211056,1
04:15:00,128.8572195,131.4987888,0,0,0,0.104455443,0.104455443,1.268056473,1
04:20:00,129.4763884,130.3941327,0,0,0,0.125207698,0.125207698,1.184656664,1
04:25:00,126.1203305,131.1242293,0,0,0,0.148656198,0.148656198,1.101377398,1
04:30:00,125.7832996,131.5325779,0,0.00815,0,0.174753421,0.174753421,1.019262418,1
04:35:00,124.4612619,130.4941352,0,0.005291667,0,0.203459296,0.203459296,0.93903236,1
04:40:00,123.1517097,127.3829958,0,0,0,0.234756416,0.234756416,0.861149708,1
04:45:00,122.8533441,123.3259021,0,0,0,0.268656606,0.268656606,0.78589324,1
04:50:00,123.5658772,118.523892,0,0,0,0.305208436,0.305208436,0.713410971,1
04:55:00,124.2898963,112.6203392,0,0,0,0.344504708,0.344504708,0.643760764,1
05:00:00,125.0267107,108.2062642,0,0,0,0.386686433,0.386686433,0.576947898,1
05:05:00,125.7781752,109.566065,0,0,0,0.431942605,0.431942605,0.512959423,1
05:10:00,126.5465068,114.4185782,0,0.013225,0,0.480506421,0.480506421,0.451793301,1
05:15:00,127.3340316,119.7546807,0,0.044608333,0,0.532643619,0.532643619,0.39348665,1
05:20:00,128.1425481,124.9025915,0,0.049075,0,0.588609237,0.588609237,0.338160938,1
05:25:00,128.9721453,129.0477375,0,0.047525,0,0.648552626,0.648552626,0.286078388,1
05:30:00,129.8201329,129.9683131,0,0.038666667,0,0.712409203,0.712409203,0.237651586,1
05:35:00,130.6807044,128.3020788,0,0.009841667,0,0.779830905,0.779830905,0.19338047,1
05:40:00,131.5455628,126.1722637,0,0,0,0.850191122,0.850191122,0.153737885,1
05:45:00,132.4054922,128.0090381,0,0,0,0.922684705,0.922684705,0.119045461,1
05:50:00,133.252147,134.7037717,0,0.018008333,0,0.996478464,0.996478464,0.089400572,1
05:55:00,134.0791807,144.4279924,0,0.061675,0,1.070833904,1.070833904,0.064682036,1
06:00:00,134.882067,149.1946621,0,0.089066667,0,1.145124863,1.145124863,0.044618088,1
06:05:00,135.6564331,147.6592802,0,0.04485,0,1.21870626,1.21870626,0.028870969,1
06:10:00,136.3961017,140.9439637,0,0,0,1.290728098,1.290728098,0.0170766,1
06:15:00,137.0929451,135.7785119,0,0,0,1.36010659,1.36010659,0.008819605,1
06:20:00,137.7387515,134.2774231,0,0,0,1.425704955,1.425704955,0.003601526,1
06:25:00,138.3273451,136.0233888,0,0,0,1.486565995,1.486565995,0.000856071,1
06:30:00,138.8558281,137.7646444,0,0.01755,0,1.542072528,1.542072528,3.10E-06,1
06:35:00,139.3247892,138.0824379,0,0.017566667,0,1.592001396,1.592001396,0.000508516,1
06:40:00,139.7375731,137.59051,0,0.00485,0,1.636467987,1.636467987,0.001925365,1
06:45:00,125.0992927,138.2824944,0,0,0,1.675829222,1.675829222,0.003908212,1
06:50:00,120.4162571,141.002684,0,0.008241667,0,1.710621485,1.710621485,0.006210335,1
06:55:00,120.6957199,146.1514319,0,0.026483333,0,1.741528933,1.741528933,0.008674469,1
07:00:00,110.9454166,151.4504205,0,0.048375,0,1.769326825,1.769326825,0.011218345,1
07:05:00,111.1726203,156.5296904,16,0.049883333,0,1.794769387,1.794769387,0.013812127,1
07:10:00,101.3958756,161.2105196,0,0.048083333,0,1.819907134,1.819907134,0.016618511,1
07:15:00,101.7780909,163.9626343,0,0.044675,0,1.863257204,1.863257204,0.022012399,1
07:20:00,102.7433752,165.330778,0,0.027525,0,1.974481764,1.974481764,0.038909126,1
07:25:00,104.856662,165.0195027,0,0.015216667,0,2.226482536,2.226482536,0.09187111,1
07:30:00,108.5734703,164.1188584,0,0.000216667,0,2.696595963,2.696595963,0.235665262,1
07:35:00,104.0054757,168.6889236,0,0,0,3.440402186,3.440402186,0.553015631,1
07:40:00,100.9579779,175.1858538,0,0.044083333,0,4.479805441,4.479805441,1.125143586,1
07:45:00,109.0726445,180.9807229,0,0.061541667,0,5.799992964,5.799992964,1.997676984,-1
07:50:00,107.9470928,186.5400802,0,0.055466667,0,7.355111143,7.355111143,3.167012152,-1
07:55:00,107.2041603,192.1704122,0,0.053566667,0,9.080309836,9.080309836,4.588422723,-1
08:00:00,96.522283,196.3827654,0,0.054408333,0,10.90458823,10.90458823,6.193587344,-1
08:05:00,95.64265425,199.9604773,0,0.041891667,0,12.7603723,12.7603723,7.906949576,-1
08:10:00,98.36195157,204.0355215,0,0.036375,0,14.58821322,14.58821322,9.656071057,-1
08:15:00,88.52759446,208.8091971,0,0.041008333,0,16.33951625,16.33951625,11.37798383,-1
08:20:00,88.03404452,215.1203199,0,0.047466667,0,17.97768735,17.97768735,13.02245614,-1
08:25:00,86.8126271,223.4209218,0,0.061475,0,19.47667664,19.47667664,14.55159545,-1
08:30:00,82.8227253,230.6529455,0,0.079591667,0,20.81907746,20.81907746,15.93826573,-1
08:35:00,88.04446594,237.0620776,0,0.070308333,0,21.99421783,21.99421783,17.16411114,-1
08:40:00,72.47260645,243.4047545,0,0.063216667,0,22.99640887,22.99640887,18.21756366,-1
08:45:00,68.11217786,248.8137646,0,0.062891667,0,23.82359117,23.82359117,19.09220259,-1
08:50:00,68.97589438,254.3490543,0,0.054791667,0,24.47643396,24.47643396,19.78558939,-1
08:55:00,61.08269347,260.6441941,0,0.056183333,0,24.95775711,24.95775711,20.29846906,-1
09:00:00,62.45694471,266.0471746,0,0.063275,0,25.27216643,25.27216643,20.63422876,-1
09:05:00,73.12778669,270.9344546,0,0.055558333,0,25.42576836,25.42576836,20.79846835,-1
09:10:00,73.12889075,274.6846938,3.2,0.0512,0,25.42602121,25.42602121,20.79873883,-1
09:15:00,82.54178296,275.3130537,0,0.041258333,0,25.29158737,25.29158737,20.65498724,-1
09:20:00,81.56333902,273.239293,0,0.013466667,0,25.06768303,25.06768303,20.41579434,-1
09:25:00,80.37026231,268.7313781,0,0,0,24.79489946,24.79489946,20.12477962,-1
09:30:00,99.04815564,264.5517591,0,0,0,24.49292876,24.49292876,19.80314262,-1
09:35:00,97.61063676,261.2192288,0,0,0,24.16498674,24.16498674,19.45446974,-1
09:40:00,96.03642969,258.3365998,0,0,0,23.80634588,23.80634588,19.07392252,-1
09:45:00,104.2967352,255.8462157,0,0,0,23.41061768,23.41061768,18.65497489,-1
09:50:00,102.3695842,252.8505575,0,0,0,22.97303828,22.97303828,18.1929182,-1
09:55:00,110.244463,248.085732,0,0,0,22.49152033,22.49152033,17.68596739,-1
10:00:00,117.9181494,242.9270045,0,0,0,21.96570225,21.96570225,17.13424178,-1
10:05:00,115.370355,240.9326192,0,0,0,21.39146059,21.39146059,16.53402414,-1
10:10:00,112.5044081,234.3330855,0,0,0,20.74769405,20.74769405,15.86414918,-1
10:15:00,120.1509708,225.5427997,0,0,0,19.99757695,19.99757695,15.08784823,-1
10:20:00,125.2238279,216.120881,0,0,0,19.12381798,19.12381798,14.18971736,-1
10:25:00,130.8058101,207.3395761,0,0,0,18.14746974,18.14746974,13.1945488,-1
10:30:00,136.0837195,203.7524067,0,0,0,17.11249971,17.11249971,12.15020904,-1
10:35:00,131.2568759,204.7953251,0,0,0,16.06474266,16.06474266,11.10519016,-1
10:40:00,136.4848915,208.8031966,0,0.017016667,0,15.04012984,15.04012984,10.09645407,-1
10:45:00,131.876605,210.4279157,0,0.043733333,0,14.06242141,14.06242141,9.147454646,-1
10:50:00,147.4986265,207.9494512,0,0.022525,0,13.14538485,13.14538485,8.270777361,-1
10:55:00,153.3848236,201.5005961,0,0,0,12.29519232,12.29519232,7.470964499,-1
11:00:00,159.5462003,195.5952628,0,0,0,11.5128406,11.5128406,6.74725284,-1
11:05:00,155.9798341,191.275555,0,0,0,10.79626671,10.79626671,6.09587269,-1
11:10:00,162.6755789,187.6157524,0,0,0,10.14189019,10.14189019,5.511667398,-1
11:15:00,169.6203325,183.6677349,0,0,0,9.545571109,9.545571109,4.989067832,-1
11:20:00,166.800423,178.3549526,0,0,0,9.003132964,9.003132964,4.522605483,1
11:25:00,174.2027686,172.3478406,0,0,0,8.510610068,8.510610068,4.107143528,1
11:30:00,171.8153244,169.4544291,0,0,0,8.064339691,8.064339691,3.737954785,1
11:35:00,179.6271563,169.7398312,0,0,0,7.660975773,7.660975773,3.410725971,1
11:40:00,177.6283422,171.8337334,0,0.010041667,0,7.297468101,7.297468101,3.121531937,1
11:45:00,175.8097396,171.8783705,0,0.026325,0,6.971017391,6.971017391,2.866791965,1
11:50:00,174.1624379,168.6255283,0,0.008033333,0,6.678976629,6.678976629,2.643188176,1
11:55:00,172.6770337,162.5225491,0,0,0,6.418726698,6.418726698,2.447571777,1
12:00:00,178.3435251,157.9453629,0,0,0,6.187664599,6.187664599,2.276959291,1
12:05:00,180.1518535,155.8420689,0,0,0,5.983299666,5.983299666,2.128603772,1
12:10:00,183.0925152,156.1024291,0,0,0,5.803352601,5.803352601,2.000057763,1
12:15:00,184.1569379,157.2010248,0,0.009725,0,5.645808225,5.645808225,1.88919546,1
12:20:00,188.3375455,157.8465751,0,0.017291667,0,5.508913013,5.508913013,1.794193355,1
12:25:00,189.6274115,156.4088611,0,0.013283333,0,5.3911051,5.3911051,1.713465765,1
12:30:00,186.0196975,153.044439,0,0,0,5.290912231,5.290912231,1.645583041,1
12:35:00,185.5073931,154.6018718,0,0,0,5.206902381,5.206902381,1.589229413,1
12:40:00,184.0836071,156.6283939,0,0.02145,0,5.137724781,5.137724781,1.543221739,1
12:45:00,184.7418832,157.6027066,0,0.025733333,0,5.082153453,5.082153453,1.506527986,1
12:50:00,182.4758994,157.8479903,0,0.016375,0,5.039030189,5.039030189,1.478219072,1
12:55:00,180.2821109,157.1402927,24.2,0.009891667,0,5.007684474,5.007684474,1.457733621,1
13:00:00,174.3668713,155.7735272,0,0.001375,0,5.021387095,5.021387095,1.466679153,1
13:05:00,175.2428928,154.337605,0,0,0,5.16369229,5.16369229,1.560449331,1
13:10:00,177.211421,153.857221,0,0,0,5.487932636,5.487932636,1.779745943,1
13:15:00,170.5561192,155.718817,0,0.003416667,0,6.05240125,6.05240125,2.178491398,1
13:20:00,165.6401663,160.3796216,0,0.02445,0,6.940791805,6.940791805,2.843456689,1
13:25:00,162.8148645,169.3558948,0,0.049666667,0,8.250411193,8.250411193,3.891008645,1
13:30:00,160.196624,180.1930645,0,0.088566667,0,10.04783842,10.04783842,5.42859913,-1
13:35:00,158.5608032,192.8734746,0,0.105558333,0,12.33131974,12.33131974,7.504678502,-1
13:40:00,156.447625,208.6761494,0,0.122458333,0,15.03217534,15.03217534,10.0886777,-1
13:45:00,155.3101889,223.2012333,0,0.150891667,0,18.03840958,18.03840958,13.08397078,-1
13:50:00,150.6197877,237.5710223,0,0.139925,0,21.22263407,21.22263407,16.35803654,-1
13:55:00,148.9108659,253.4506155,0,0.139016667,0,24.46159103,24.46159103,19.76979545,-1
14:00:00,142.7944057,267.4798656,0,0.153066667,0,27.64709041,27.64709041,23.18793386,-1
14:05:00,145.9557166,281.4112677,0,0.137,0,30.69013096,30.69013096,26.4999883,-1
14:10:00,148.1456786,296.0559846,0,0.136633333,0,33.52076365,33.52076365,29.61484621,-1
14:15:00,139.1709728,307.0895287,0,0.14355,0,36.08602899,36.08602899,32.46174432,-1
14:20:00,138.885418,315.8764362,0,0.111683333,0,38.34733447,38.34733447,34.98782586,-1
14:25:00,137.1828992,323.2914167,0,0.091975,0,40.27792771,40.27792771,37.15537495,-1
14:30:00,133.9926987,328.516889,0,0.080075,0,41.86093769,41.86093769,38.93949172,-1
14:35:00,139.2768411,333.0667656,0,0.060791667,0,43.08801725,43.08801725,40.3263755,-1
14:40:00,133.0341392,337.13163,0,0.05505,0,43.95971347,43.95971347,41.31355513,-1
14:45:00,135.3015497,339.4335028,0,0.051008333,0,44.48538642,44.48538642,41.90962625,-1
14:50:00,136.1208309,340.3141904,0,0.035475,0,44.67525506,44.67525506,42.12505868,-1
14:55:00,135.5395721,339.0534611,0,0.022975,0,44.5405522,44.5405522,41.97221211,-1
15:00:00,133.6307443,335.8360652,0,0.003966667,0,44.09805737,44.09805737,41.47037172,-1
15:05:00,130.5098245,332.4334504,0,0,0,43.37415069,43.37415069,40.6502408,-1
15:10:00,128.3050285,328.3000793,0,0,0,42.39805935,42.39805935,39.54615655,-1
15:15:00,128.1479828,323.8443578,0,0,0,41.19985299,41.19985299,38.19370962,-1
15:20:00,128.1732641,318.3587148,0,0,0,39.81048414,39.81048414,36.62969305,-1
15:25:00,128.5159213,310.364329,0,0,0,38.26133367,38.26133367,34.8914947,-1
15:30:00,127.3083376,301.2044007,0,0,0,36.58356221,36.58356221,33.01627624,-1
15:35:00,123.6772546,290.3457873,0,0,0,34.80745234,34.80745234,31.04014988,-1
15:40:00,125.7413378,277.6874133,0,0,0,32.96182994,32.96182994,28.99745454,-1
15:45:00,127.6094098,268.2250313,0,0,0,31.07359966,31.07359966,26.92017197,-1
15:50:00,129.3793392,261.4245106,0,0,0,29.16740138,29.16740138,24.83749065,-1
15:55:00,121.1375094,256.1497849,0,0,0,27.26538066,27.26538066,22.77550952,-1
16:00:00,122.9587649,251.7282586,0,0,0,25.38706017,25.38706017,20.75706675,-1
16:05:00,120.9067279,246.2841922,0,0,0,23.54929742,23.54929742,18.80167626,-1
16:10:00,120.0343833,238.2180198,0,0,0,21.76631298,21.76631298,16.92555366,-1
16:15:00,120.3847708,229.0768041,0,0,0,20.04975908,20.04975908,15.14169868,-1
16:20:00,119.9907978,218.4869914,0,0,0,18.40861567,18.40861567,13.45981698,-1
16:25:00,119.8665488,206.7865348,0,0,0,16.8472772,16.8472772,11.88446739,-1
16:30:00,117.9696772,199.0499657,0,0,0,15.35766499,15.35766499,10.40758648,-1
16:35:00,118.201274,194.670386,0,0,0,13.92018371,13.92018371,9.010587674,-1
16:40:00,114.5159318,192.0011077,0,0,0,12.52778628,12.52778628,7.688455382,-1
16:45:00,117.9631301,188.6415195,0,0,0,11.19349134,11.19349134,6.455530576,-1
16:50:00,111.6358709,182.8678482,0,0,0,9.937989544,9.937989544,5.331877297,-1
16:55:00,110.6196319,174.5009076,0,0,0,8.778376131,8.778376131,4.332017222,1
17:00:00,110.9714247,167.5991792,0,0,0,7.724068367,7.724068367,3.461483496,1
17:05:00,108.7191622,162.4826614,0,0,0,6.777277869,6.777277869,2.717983711,1
17:10:00,108.8686592,158.9759568,0,0,0,5.935033649,5.935033649,2.093928995,1
17:15:00,107.4114321,157.208995,0,0,0,5.191212768,5.191212768,1.578763072,1
17:20:00,107.3308543,156.0572887,0,0,0,4.538075087,4.538075087,1.160643369,1
17:25:00,107.6063188,154.8524805,0,0.003133333,0,3.967273953,3.967273953,0.827508274,1
17:30:00,104.215776,152.5515209,0,0.002658333,0,3.47046249,3.47046249,0.567696341,1
17:35:00,101.1371158,146.9947064,0,0,0,3.039626087,3.039626087,0.370277086,1
17:40:00,108.3488865,144.9499549,0,0,0,2.667256521,2.667256521,0.225216453,1
17:45:00,115.8307091,146.0834492,0,0,0,2.346443318,2.346443318,0.123449471,1
17:50:00,113.563501,148.1601144,0,0.023458333,0,2.070911768,2.070911768,0.056893111,1
17:55:00,111.531069,149.6537024,27,0.031975,0,1.835195302,1.835195302,0.018441562,1
18:00:00,119.8346203,148.3697388,0,0.026825,0,1.646992245,1.646992245,0.002389644,1
18:05:00,118.8076471,144.3505487,0,0.00195,0,1.53697861,1.53697861,1.82E-05,1
18:10:00,118.7954632,138.9314865,0,0,0,1.535691532,1.535691532,2.40E-05,1
18:15:00,120.2049826,136.8847186,0,0,0,1.687399344,1.687399344,0.004617436,1
18:20:00,123.4877922,139.2653779,0,0,0,2.061936579,2.061936579,0.055095032,1
18:25:00,129.0594773,146.7937848,0,0.034583333,0,2.760485748,2.760485748,0.259028826,1
18:30:00,127.1693487,155.670153,0,0.080875,0,3.901988416,3.901988416,0.791632578,1
18:35:00,127.7151738,164.9808282,0,0.093208333,0,5.571876019,5.571876019,1.837731379,1
18:40:00,120.2801865,176.078759,0,0.097375,0,7.780772394,7.780772394,3.50723894,1
18:45:00,124.2901346,187.0458949,0,0.113716667,0,10.46044971,10.46044971,5.794730754,-1
18:50:00,129.1422195,199.1793624,0,0.112891667,0,13.48824062,13.48824062,8.596927867,-1
18:55:00,124.279109,213.8896253,0,0.123716667,0,16.71951251,16.71951251,11.75673951,-1
19:00:00,129.232802,227.3064286,0,0.14725,0,20.01583893,20.01583893,15.10669141,-1
19:05:00,123.6282445,240.609515,0,0.136116667,0,23.25873397,23.25873397,18.49445064,-1
